"","产品简称","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12"
"2998","君洽精选二期",-0.7505,0.9381,0,-4.6904,-5.9099,-6.1914,-6.0976,-2.439,-4.5966,-6.0976,-7.3171,-6.5666
"3845","君享抱朴慧选2号",-2.1379,-0.6813,-0.4816,-2.3376,-4.9571,-4.0644,-4.2641,-4.0526,-1.7033,-2.8192,-3.7472,-4.1701
"299","君享重阳阿尔法对冲一号",3.7017,5.7158,6.4235,6.3691,8.6554,12.5204,8.2198,11.105,8.6009,15.1878,12.6837,16.8209
"4118","君翼量化2号",-2.7143,2.5334,4.1275,8.1689,4.4119,7.7122,10.0819,14.3731,18.9487,16.8979,18.9315,17.8285
"4654","骏胜天刍长盈",-5.0609,-6.7385,-10.9465,-13.907,-18.5057,-21.4773,-25.3111,-29.5649,-31.9614,-32.0253,-30.7953,-28.3919
"3310","开宝1期",-1.185,0.3207,-2.0135,-3.6262,-6.397,-2.851,4.1607,1.8264,5.9694,8.9986,16.2954,15.2352
"899","开宝2期",1.4512,4.5805,4.2216,1.9156,-0.7599,4.4591,6.934,9.9683,7.4037,6.6966,5.9894,3.2612
"958","开河稳健成长一号",1.3084,1.4019,1.6822,-1.6822,-2.6168,4.1121,12.1495,11.028,9.8131,18.0374,21.8692,22.3364
"3888","开鑫1号",-2.2246,-1.4295,-3.0555,-11.0158,-13.2404,-12.3291,-12.4185,-12.892,-10.6584,-19.405,-24.3545,-25.0603
"4842","开元价值壹号",-6.3964,-5.8559,-4.6847,-0.7207,1.3514,6.5766,6.3964,10.991,13.8739,25.2252,30.9009,41.8919
"1547","开源1号",0.4435,1.8124,1.2051,-2.9018,-5.1769,-1.2436,0.2699,5.4661,1.6003,6.5073,-0.9158,-3.5959
"515","凯纳300",2.6606,5.3211,4.4954,3.1193,3.6697,10.6422,13.3945,18.2569,19.1743,23.4862,23.1193,24.1284
"1322","凯纳500指数增强5号",0.7107,5.2594,4.2644,0.7818,-5.1173,0.1421,2.3454,6.0412,7.747,5.7569,6.4677,7.1073
"4281","凯纳骊莱",-3.1775,-2.43,-6.2617,-9.6261,-11.8692,-10.7476,3.2711,3.4581,3.645,2.2431,0.374,1.7759
"1324","凯纳智尊",0.7098,2.1295,2.7507,-6.3886,-10.3815,1.2422,2.0408,2.0408,2.6619,4.7028,3.4605,4.2591
"1428","凯纳中证500量化指数",0.5739,5.4364,5.0458,0.4623,-7.9872,-0.2471,2.6226,6.943,8.9518,6.6959,4.0733,3.9139
"352","凯顺2012",3.4284,7.7203,14.4163,16.0247,21.3917,31.4738,30.8135,32.278,36.0196,49.2847,47.5154,52.1459
"268","凯顺星成长",3.8985,7.6156,11.6047,11.9674,17.0444,23.9347,24.5694,25.6573,30.3717,40.5258,41.8858,50.7706
"5108","凯旋量化6号",-14.4198,-11.1775,-12.4573,-13.1399,-15.9556,-16.8089,-20.9044,-21.0751,-18.0887,-22.0137,-26.5358,-25.256
"2611","康曼德001号",-0.3327,0.9526,1.9128,-1.0282,-1.875,2.8275,0.6275,4.0977,7.3335,9.5865,6.1692,7.3864
"984","康曼德002号",1.2533,4.1557,4.3536,4.7493,3.2322,8.5092,12.9947,13.3245,19.8549,23.0211,22.7573,23.5488
"4758","康元一期",-5.9078,-3.3141,-10.8069,-21.902,-30.2594,-36.1671,-30.8357,-46.3977,-28.8184,-21.902,-23.9193,-29.1066
