产品简称,当年收益%
雷钧资产求是1期,2.7
林孚1号,2.64
天玑财富2号,2.61
盈阳涌鑫三号,2.6
龙郡成长1期,2.6
巨杉2号,2.6
嘉盈1号,2.6
易同增长,2.59
小鳄1号,2.58
融儒稳健一号,2.58
海洋之星90号第五期,2.58
对冲优选2期1号,2.57
瀚投华睿千和1号,2.54
金太阳高毅国鹭1号崇远,2.51
佰顺启航1号,2.5
信葵成长精英,2.5
林园3期,2.5
神农1期,2.49
安天诚五号,2.49
勤远1号,2.49
榆柳一号,2.46
海银国信红岭量化精选,2.44
量道趋势1号,2.43
太平洋红珊瑚3号,2.4
来兴1号,2.4
大通道财道1号,2.39
中信保盈量化1号,2.35
瞰金66号,2.34
楠溪一期,2.31
睿鉝量化对冲1期,2.31
东达成长三期,2.3
千竹一号,2.3
锦和1号,2.3
青骓西格玛套利一期,2.22
泛涵正元,2.2
探骊禾乔共进1号,2.2
辉御春石新兴产业1期,2.2
蔚蓝1号,2.2
至信55号财富2期,2.19
核心价值1期,2.16
家和万事兴1号,2.16
迈隆1号,2.14
和聚民享2号,2.14
歌斐诺宝精英组合管理..,2.13
至信132号财富3期,2.13
知几投资灵活配置3期,2.13
港融通8号-第05期,2.13
创势翔国政对冲基金,2.12
中投泰富稳盈1号,2.1
鼎集1期,2.09
鸿逸楚天一号,2.08
融珲19号,2.08
同威2期,2.07
世富壹玖创新,2.04
致福1期,2.04
汇信华安1号,2.02
灿熙2号,2
福纳1号,2
兴证稳健1号,2
华融明湾量化1号,2
金新誉创君暘1号,2
牛丰子午线一期,1.99
太极1号基金,1.98
广盈2号2期赤子之心价..,1.98
西藏同信同心吉祥高息..,1.95
泓瑞1号,1.94
胜数量化8号,1.94
富恩德1号,1.91
理成风景15号,1.91
探骊心无熊1号,1.9
金枕头三期,1.9
新阳,1.89
众乐未名量化对冲二号,1.87
通和进取1号,1.86
嘉富暖流稳健1号,1.84
泉桥量化十三号,1.83
壹财富量化1号,1.82
中联投资明星1期,1.81
格上稳盈量化对冲1号,1.81
天易高华,1.8
彼林乃尔主题精选3期,1.8
林园,1.78
诺亚高毅国鹭1号尚远2..,1.77
楠溪二期,1.77
诺亚高毅国鹭1号尚远1..,1.76
诺亚高毅国鹭1号尚远1..,1.76
诺亚高毅国鹭1号尚远1..,1.76
诺亚高毅国鹭1号尚远1..,1.76
祥运和1号,1.74
道合1号,1.73
国金恒盛分级6号,1.7
盈源12号,1.68
思悦1号,1.67
林园2期,1.67
长江资管量化对冲1号,1.64
中经乾禾,1.63
安盈鑫享4号,1.62
创势翔进取,1.61
长城量化优选8号,1.61
宏禾种子1号,1.6
盈象合象精选,1.6
宝丰源精选一号,1.59
大唐财富唐韵,1.58
南方增长鸿运稳健,1.57
贝肯双隆基金,1.57
通金进取1号,1.52
前海旗隆医药衍生对冲..,1.51
倍霖山如意一号,1.5
神农医药A,1.5
盈峰稳健量化对冲基金,1.5
永禧永兴,1.5
富腾成长三期,1.49
珠池量化稳健投资母基..,1.49
华尔进取2号,1.47
天枢泰信11号,1.47
长江超越理财量化3号,1.46
保银量化石榴,1.42
格上稳盈量化对冲2号,1.4
晟维成长,1.4
龙江红1期,1.39
宝蓁二号,1.37
众合机电1号,1.35
探骊,1.34
尊岳进取3号,1.32
龙江红3期,1.31
南丁格尔言起1号,1.3
和聚兴享2期,1.3
泓澄尊享F期,1.3
禄象鸿泰2号,1.3
珠池量化稳健投资母基..,1.29
新思哲1期,1.27
天和4号证券基金,1.21
道亨对冲1号,1.2
理成专户4号,1.2
国贸旭诚1号,1.2
映雪经远6号,1.2
金百镕1期,1.19
深乾凌凌九进取,1.18
摩通成长2号,1.18
聚盈1号,1.17
凯石合星灵活配置1号,1.16
齐鲁天王星,1.15
申毅多策略量化套利3号,1.15
炳富1号,1.13
麒涵1号,1.13
福建滚雪球8号,1.11
犇牛2期,1.1
鑫安泽雨2期,1.1
创盈6号,1.1
碧俽稳健1号,1.1
信复创值3号,1.09
稳健3号,1.03
银帆5期,1.02
大麓投资1期,1
乐信进取1期,1
银驰资本2015005,0.98
国宏东升1号,0.97
海洋之星99号,0.97
博弈树稳定增长1号,0.97
