"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"259","招商汇智之喜马拉雅",41.18,"32.7",32.79,32.96
"222","招商智远美丽中国",44.27,"46.09",46.36,48.94
"1448","昭时二期",-26.8,"-4.34",-8.13,-6.73
"266","兆信1期",40.49,"41.69",39.06,37.94
"15","兆意1期",142.37,"164.48",176.57,213.34
"1322","兆泽利丰1期",-9.04,"3.67",6.6,8.34
"1301","柘弓1期",-7.91,"0.07",7.81,14.23
"762","浙商金惠1号",16.68,"27.42",32.83,33.96
"288","浙商金惠2号",39,"50.42",43.72,44.62
"71","浙商金惠3号",69.58,"97.84",119.27,132.08
"161","浙商金惠海宁钱潮",52.97,"65.07",64.72,68.85
"189","浙商金惠引航",49.23,"57.26",60.57,68.4
"469","峥战1期",28.1,"37.1",38.02,37.84
"68","正弘1号",70.43,"77.1",85.07,94.73
"150","正朗成长资产",54.49,"57.54",58.44,63.55
"537","证大稳健",25.08,"52.35",99.6,155.82
"1030","证研一期",5.36,"21.32",19.87,27.11
"1346","执耳医药",-10.86,"-0.96",0.24,5.64
"646","至尊6号六禾成长",21.13,"29.52",37.27,39.59
"745","至尊宝",17.41,"20.11",20.85,28.27
"421","志禾对冲1号",30.25,"34.36",34.97,32.44
"98","质嘉一期",61.5,"68.36",66.08,73.13
"351","智博方略2期(续)",34.63,"39.33",35.3,28
"1116","智诚5期",1.92,"16.01",16.52,36.27
"1108","智诚6期",2.6,"20.7",42.8,40.4
"756","智诚7期",16.89,"25.78",36.68,29.05
"1161","智诚8期基金",-0.2,"17.17",36,34.83
"826","智德1期",14.16,"16.3",18.47,19.77
"759","智德精选3期",16.8,"12.47",19.68,22.87
"808","智德精选5期",14.95,"-0.5",10.75,14.32
"844","智德精选6期",13.09,"12.25",-3.87,-1.17
"944","智信创富1期",9.28,"25.27",34.94,37.14
"858","智信创富2期",12.43,"28.37",37.98,39.21
"1464","智信创富汇富1期",-33.2,"-30.2",-32.2,-22.5
"1251","中风投一号",-4.46,"-4.18",-4.28,-4.38
"1381","中国龙回报1期",-14.22,"-13.11",-12.95,-3.26
"1329","中国龙价值",-9.67,"-9.03",-9.03,-7.5
"1288","中国龙价值对冲1号",-6.84,"-6.25",-6.26,-5.88
"984","中国龙价值二",7.24,"7.82",7.92,9.57
"1100","中国龙进取",2.85,"6.77",6.35,9.81
"1330","中国龙精选",-9.7,"-0.49",-2.78,14.01
"641","中国龙精选(三)",21.39,"24.49",23.86,28.83
"566","中国龙精选二",24.04,"27.41",26.73,33.87
"662","中国龙平衡",20.53,"22.23",20.95,22.82
"1267","中国龙稳健",-5.43,"-3.61",-3.42,2.17
"1348","中国龙稳健(五)",-10.91,"-9.26",-9.11,1.44
"925","中国龙增长",9.99,"12.45",11.96,17.5
"1412","中国龙资本",-17.41,"-15.57",-14.13,-5.5
"723","中国优质1号",18.11,"22.61",23.95,28.5
"864","中金对冲10号",12.29,"13.14",13.4,14.54
"1040","中金对冲1号",4.94,"5.25",6.93,8.61
"1076","中金对冲3号",4.13,"3.66",5.17,7.67
"1071","中金对冲5号",4.2,"3.92",5.41,8.03
"810","中金对冲6号",14.89,"14.66",16.06,18.59
"772","中金对冲9号",16.28,"17.69",21.8,26.62
"891","中金家族1号",11.4,"7.5",29.7,38.7
"1246","中科智1号",-4.14,"4.11",8.89,17.38
"374","中欧瑞博1期",33.38,"44.05",56.76,56.43
"1436","中欧瑞博6期",-22.84,"-17.72",48.51,49.57
"449","中欧瑞博一期",28.99,"36.85",43.28,46.86
"309","中睿合银15期",37.48,"27.52",31.35,27.71
"239","中睿合银7期",42.83,"32.45",34.47,34.25
"231","中睿合银8期",43.41,"34.98",36.36,32.56
"246","中睿合银9期",41.98,"32.76",38.74,31.49
"279","中睿合银二期",39.91,"28.56",31.49,28.71
"277","中睿吉祥管家10期",39.95,"31.5",35.3,31.32
"6","中山宝睿精选",202.2,"127.44",127.51,127.72
"36","中山盛翔2号",94.82,"93.25",93.12,92.92
"781","中信宏量2号",16.04,"19.45",22.99,20.37
"988","中域增值1期",7.18,"11.6",19.53,20.2
"367","中卓成长1期",33.85,"49.5",58.88,67.34
"976","中卓大健康5期",7.62,"6.22",10.85,13.32
"1449","中卓大健康6期",-27.02,"-24.48",-24.19,-23.46
"963","重阳1期",8.54,"19.42",19.3,26.65
"930","重阳2期",9.72,"15.79",16.69,19.55
"794","重阳6期",15.36,"21.95",17.42,23.02
"582","重阳8期",23.39,"26.21",23.21,30.21
"417","重阳对冲1号",30.51,"27.93",18.24,18.34
"725","重阳对冲2号",18.07,"21.05",21.79,25.55
"839","重阳对冲3号",13.55,"28.73",32.31,36.22
"602","重阳目标回报1期",22.52,"34.13",34.26,44.72
"603","重阳目标尊享A期",22.52,"34.12",34.7,44.71
"236","朱雀10期",42.98,"51.59",52.88,67.68
"293","朱雀12期",38.71,"46.42",47.45,60.91
"258","朱雀13期",41.21,"51.08",51.47,66.9
"586","朱雀14期",23.19,"36.09",37.29,50.79
"638","朱雀15期",21.47,"31.27",31.85,45.17
"269","朱雀17期",40.34,"48.44",48.26,64.11
"106","朱雀18期",60.03,"69.54",70.98,85.06
"306","朱雀19期",37.61,"45.55",45.18,60.4
"406","朱雀20期",31.4,"37.8",37.39,51.69
"250","朱雀22期",41.72,"48.87",48.81,63.63
"431","朱雀2期",29.9,"41.93",44.41,51.8
"391","朱雀3期",32.56,"44.53",47.04,54.66
"299","朱雀4期",38.18,"45.25",45.02,60.05
"344","朱雀5期",35.06,"42.11",41.84,56.61
"294","朱雀9期",38.57,"45.66",47.77,62.08
"689","朱雀二期A",19.37,"27.39",28.07,40.6
"683","朱雀二期B",19.49,"27.53",28.23,40.79
"388","朱雀合伙专项",32.63,"44.58",47.08,54.64
"254","朱雀新机遇",41.61,"53.41",54.07,70.63
"253","朱雀新机遇汇智A期",41.62,"53.41",54.07,70.63
"375","朱雀新经济",33.28,"42.83",44.01,60.1
"125","朱雀专享1号",57.99,"66.39",66.65,83.94
"712","卓越1号",18.46,"18.56",19.35,21.13
"906","资富精鉴基金",10.69,"13.17",12.44,26.13
"605","紫金港1号",22.49,"42.73",42.01,50.87
"1440","紫微星1号",-24.11,"-14.29",-12.5,-9.82
"213","自然道量化1期",46,"45.8",46.31,47.41
"1406","尊富1号",-16.89,"-12.53",-11.46,-4.94
"1162","尊岳进取2号",-0.22,"3.06",0.75,2.04
"1085","尊岳进取3号",3.63,"5.11",6.17,5.95
"1006","尊岳进取5号",6.41,"7.43",6.82,7.5
