"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"587","飞天1号",23.1,"41.28",47.37,54.92
"735","飞天4号",17.78,"35.15",41.12,51.34
"17","丰大一号",139.04,"84.68",103.3,98.7
"73","丰岭稳健成长1期",69.4,"72.9",82.16,82.26
"905","丰煜如意理财一期",10.7,"26.11",25.26,37.18
"296","沣杨锦绣",38.47,"44.42",47.6,51.89
"280","沣杨旺德福",39.87,"46.05",49.32,53.59
"742","枫景",17.53,"27.43",24.82,59.79
"799","否极泰",15.18,"38.47",31.52,49.12
"990","赋成量化3号",7.09,"22.03",26.35,25.67
"732","富锦7号(汇利)",17.85,"22.6",25.83,34.54
"720","富锦8号(尚雅)",18.13,"26.5",27.6,29.05
"1150","富民1期",0.48,"7.17",9.57,4.55
"93","富腾成长三期",62.37,"96.82",129.27,127.27
"776","高溪量化对冲1号",16.16,"11.01",27.23,21.5
"186","高信百诺1期",49.45,"54.54",61.74,64.64
"820","格雷二期",14.38,"16.45",23.19,25.02
"786","格雷一期",15.82,"17.71",24.56,26.41
"51","共盈大岩量化进取",82.03,"100.71",112.01,135.61
"1333","共盈立源新产业",-9.78,"-4.79",7.48,5.99
"1360","谷晟一期",-12.03,"11.35",12.49,15.73
"471","光大同享二号",28.07,"44.68",52.43,59.82
"446","光华上智1期",29.04,"35.91",35.15,36.53
"219","光华上智5期",44.43,"46.47",36.44,38.59
"1397","广金昂立",-15.98,"-3.34",-4.5,6.88
"1012","广金成长3期",6.2,"15.75",17.98,23.32
"1344","广金成长5期",-10.77,"-0.48",4.08,10.72
"1286","广金成长6期",-6.72,"6.63",13.73,25.95
"441","归富长乐1号",29.14,"34.6",37.07,37.04
"726","国道量化基金二号",18.06,"18.33",17.15,19.98
"305","国道量化基金一号",37.63,"37.4",38.67,43.47
"291","国泰君安君享富利",38.92,"47.06",48.41,53.87
"626","国泰君安君享弘利",21.73,"31.29",36.01,40.86
"1372","国投凯益",-13.38,"-4.85",7.33,7.66
"1080","国投瑞僖稳健收益",3.99,"21.24",25.2,32.47
"983","国信红岭量化",7.33,"8.02",8.85,9.27
"355","国轩",34.53,"47.2",48.13,54.64
"575","海洋之星1号",23.77,"36.21",33.09,47.79
"1253","海之源一号",-4.54,"-0.17",-0.95,7.62
"931","海中湾(齐鲁)3号",9.7,"20.62",25.38,38.9
"818","汉和资本1期",14.46,"27.66",24.46,40.16
"792","瀚信成长1期",15.44,"25.59",18.28,22.61
"898","瀚信成长2期",11.07,"22.76",16.02,19.88
"491","瀚信成长4期",27.06,"28.76",27.33,31.54
"314","瀚信成长5期",37.11,"35.21",26.88,31.77
"875","瀚信成长6期",12.02,"14.12",5.52,9.08
